작업자ID,작업자성명,Data_ID,ori데이터셋명,링크,ori설명,ori관련태그,ori공개일자,ori최신수정일자,ori제공기관,ori제공부서,ori담당자,ori연락처,ori공개일자_변경여부,ori최신수정일자_변경여부,ori제공기관_변경여부,ori제공부서_변경여부,ori담당자_변경여부,ori연락처_변경여부,up공개일자,up최신수정일자,up제공기관,up제공부서,up담당자,up연락처,ori데이터셋명_판단,ori설명_판단,ori관련태그_판단,연관데이터_판단,up데이터셋명,up설명,up관련태그,up연관데이터,기타사항
19,정민혁,1801,서울특별시 마포구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18390S/1/datasetView.do,마포구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,마포구,스마트도시정책관 빅데이터담당관,마포구 대표전화,02-3153-8114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1802,서울특별시 서대문구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18389S/1/datasetView.do,서대문구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,서대문구,스마트도시정책관 빅데이터담당관,서대문구 대표전화,02-330-1114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1803,서울특별시 은평구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18388S/1/datasetView.do,은평구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,은평구,스마트도시정책관 빅데이터담당관,은평구 대표전화,02-351-6114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1804,서울특별시 노원구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18387S/1/datasetView.do,노원구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,노원구,스마트도시정책관 빅데이터담당관,노원구 대표전화,02-2116-3114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1805,서울특별시 도봉구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18386S/1/datasetView.do,도봉구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,도봉구,스마트도시정책관 빅데이터담당관,도봉구 대표전화,02-2091-2120,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1806,서울특별시 강북구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18385S/1/datasetView.do,강북구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,강북구,스마트도시정책관 빅데이터담당관,강북구 대표전화,02-901-6114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1807,서울특별시 성북구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18384S/1/datasetView.do,성북구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,성북구,스마트도시정책관 빅데이터담당관,성북구 대표전화,02-2241-3114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1808,서울특별시 중랑구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18383S/1/datasetView.do,중랑구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,중랑구,스마트도시정책관 빅데이터담당관,중랑구 대표전화,02-2094-0114,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1809,서울특별시 동대문구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18382S/1/datasetView.do,동대문구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,동대문구,스마트도시정책관 빅데이터담당관,동대문구 대표전화,02-2127-5000,,,,,,,,,,,,,,,,,,,,,
19,정민혁,1810,서울특별시 광진구 유통전문판매업 인허가 정보,http://data.seoul.go.kr/dataList/OA-18381S/1/datasetView.do,광진구의 직접 제조하지 않고 식가공류 제공을 위해 판매업소에 유통하는 업소정보 * 좌표안내 :  중부원점TM(EPSG:2097) 좌표계에 따른 해당위치의 좌표정보이며 위경도 좌표는 제공하고 있지 않음 * 본 데이터는 3일전 자료를 제공합니다.,"유통, 판매",2020-07-24,2021-07-14,광진구,스마트도시정책관 빅데이터담당관,광진구 대표전화,02-450-1114,,,,,,,,,,,,,,,,,,,,,
